Power_mW	Cell.size_um2	target_cell_induction	neighborings_induction	local_cells_induction	cell_death
8	2014.163	0	0	0	0
8	2543.714	0	0	0	0
8	3667.274	0	0	0	0
8	2488.868	0	0	0	0
8	2645.986	0	0	0	0
8	938.689	1	0	1	0
8	2194.28	0	0	0	0
8	4227.43	0	0	0	0
8	2291.191	0	0	0	0
8	3878.735	0	0	0	0
8	2909.758	0	0	0	0
8	752.024	1	1	1	0
8	2975.087	0	0	0	0
8	3846.625	0	0	0	0
8	3466.137	0	0	0	0
8	2496.051	0	0	0	0
8	1803.758	0	0	0	0
8	2981.371	0	0	0	0
8.5	941.673	1	0	1	0
8.5	4389.96	0	0	0	0
8.5	3488.82	1	0	1	0
8.5	3681.824	0	0	0	0
8.5	789.124	1	1	1	0
8.5	2322.826	0	1	1	0
8.5	3549.238	0	0	0	0
8.5	2265.63	1	0	1	0
8.5	2528.504	0	0	0	0
8.5	1079.646	1	1	1	0
8.5	2396.024	0	0	0	0
8.5	2840.573	0	0	0	0
8.5	2592.698	0	0	0	0
8.5	852.288	1	1	1	0
8.5	2834.13	0	1	1	0
8.5	2380.154	0	0	0	0
8.5	2450.5	0	0	0	0
15	3023.965	0	1	1	0
15	3818.529	0	1	1	0
15	3921.434	0	1	1	0
16	3406.565	0	1	1	0
16	5082.807	0	1	1	0
16	3309.839	0	1	1	0
17	5075.915	NA	NA	NA	1
17	2955.282	0	1	1	0
17	2686.466	NA	NA	NA	1
18	3261.779	NA	NA	NA	1
18	3498.01	0	1	1	0
18	3144.377	0	1	1	0
19	3949.504	NA	NA	NA	1
19	4271.343	NA	NA	NA	1
19	3488.609	NA	NA	NA	1
20	3949.556	NA	NA	NA	1
20	3054.253	NA	NA	NA	1
20	3902.923	NA	NA	NA	1
18	2839.702	NA	NA	NA	1
18	3437.434	NA	NA	NA	1
18	5142.116	NA	NA	NA	1
18	3190.324	NA	NA	NA	1
18	3873.322	NA	NA	NA	1
18	3086.838	NA	NA	NA	1
19	3535.11	NA	NA	NA	1
19	2751.69	NA	NA	NA	1
19	2655.571	NA	NA	NA	1
19	3835.64	NA	NA	NA	1
19	2705.268	NA	NA	NA	1
19	4632.95	NA	NA	NA	1
20	4095.108	NA	NA	NA	1
20	3939.522	NA	NA	NA	1
20	2011.021	NA	NA	NA	1
20	2993.069	NA	NA	NA	1
20	2578.306	NA	NA	NA	1
20	3666.138	NA	NA	NA	1
15	3321.484	NA	NA	NA	1
15	4894.689	0	1	1	0
15	6176.026	0	1	1	0
15	4760.73	NA	NA	NA	1
15	4399.149	NA	NA	NA	1
15	3125.682	0	1	1	0
16	3032.283	NA	NA	NA	1
16	2020.923	NA	NA	NA	1
16	1971.808	NA	NA	NA	1
16	1387.543	0	1	1	0
16	3831.547	1	1	1	0
16	3290.509	0	1	1	0
17	2637.72	NA	NA	NA	1
17	3154.94	NA	NA	NA	1
17	2585.41	NA	NA	NA	1
17	2372.839	NA	NA	NA	1
17	3415.411	NA	NA	NA	1
17	3512.533	NA	NA	NA	1
12.5	1032.854	NA	NA	NA	1
12.5	3020.426	0	1	1	0
13.5	3712.349	0	1	1	0
13.5	2986.415	0	1	1	0
13.5	854.823	NA	NA	NA	1
13.5	3271.603	0	1	1	0
14	5475.283	1	1	1	0
14	4577.312	NA	NA	NA	1
